Latitude,Longitude,Inspection_Date,Year,day_of_year,mean_varroa,n,x_km,y_km,TrapezoidAverage,SpringFloral,SummerFloral,FallFloral,Nesting,Insecticide,n_colonies_5km,Monitor_prox,Treat_prox,Fed_Solid,Fed_Syrup,Fed_pollen
39.17541000000001,-89.52163,2018-06-10T00:00:00Z,2018,161,8.575,4,12.317842852269417,-80.87624200619385,74.68922039132029,36.348781155798,42.069259478898694,28.90095578417194,32.17126428977009,208.0098852475855,7,0,0,0,1,0
39.22475200000001,-90.19292,2019-05-09T00:00:00Z,2019,129,3,2,-45.58013062281156,-74.42295733631967,70.11608581278597,30.174273792920257,41.6298036199797,26.77570413596653,21.413973784784144,309.3334988481217,0,0,NA,0,1,0
39.2437,-87.41470000000001,2018-07-13T00:00:00Z,2018,194,6,4,194.30290423082545,-73.5653936634087,67.12297942884622,29.87202991644821,40.02567636389003,24.319098344215707,23.934081200268515,394.3644200391743,2,1,1,0,1,0
39.26218200000001,-90.394769,2018-09-11T00:00:00Z,2018,254,0.75,4,-62.917129321245824,-69.88970345012791,72.2690989355504,32.096257095178814,42.281857125389784,27.76489062068652,23.137053569875437,295.14391209797947,1,1,1,0,1,0
39.26663800000001,-87.67231699999998,2018-06-20T00:00:00Z,2018,171,4,8,172.04475952504552,-71.21279543759005,79.52800153579959,41.59411657510599,44.13441736424299,29.19494871703493,35.168620941845845,204.2750234807821,1,1,1,0,1,0
39.29217000000001,-89.86936999999999,2019-07-06T00:00:00Z,2019,187,5.3,10,-17.512234072204738,-67.46155366136588,67.42165221595388,28.00744823822116,40.87114034670985,25.28512628759548,19.56183644649866,323.245842476382,5,1,0,0,1,1
39.3045,-89.2967,2019-08-08T00:00:00Z,2019,220,0.6666666666666666,6,31.907180246577628,-66.77518423727143,65.07552543830116,25.98286045424164,39.68451841149584,24.801652037320068,17.108204435532166,407.9730775671431,11,0,0,0,1,1
39.30467099999999,-89.298278,2018-07-10T00:00:00Z,2018,191,5.5,4,31.771273722539423,-66.75474855792523,64.9939786423283,25.907147634555255,39.653897049856255,24.77071764866724,17.020967600271575,409.9374164420703,11,1,0,0,0,0
39.3069,-87.77771,2018-06-20T00:00:00Z,2018,171,5.5,8,162.9219845019145,-66.80406153998221,79.76631066996228,42.61214913721254,43.83906102610312,29.24519882304513,36.88466250999974,226.45933358401692,7,1,1,1,0,0
39.31139999999999,-87.40140000000001,2018-07-13T00:00:00Z,2018,194,10,4,195.3736724229711,-66.0375438198612,69.27598124396324,32.2922794235372,40.35129360911749,25.558597146748063,27.117288336245316,373.96512545110954,2,1,1,0,1,0
39.31759,-89.05886,2019-05-16T00:00:00Z,2019,136,1,2,52.433397951575955,-65.51346305062523,70.48224518355725,31.938486483686063,41.260779550108445,26.716276832426715,25.068083737336988,279.9211271271132,1,0,1,0,1,1
39.360274,-88.91745800000001,2018-08-14T00:00:00Z,2018,226,4.5,4,64.65807777447017,-60.862979018657235,62.591733878843,25.804627888511156,38.708110073338254,21.960023908134144,20.02001764933768,363.8750636207515,2,0,1,0,1,0
39.372182,-89.28884099999999,2019-08-08T00:00:00Z,2019,220,2,4,32.664494435258355,-59.26816814563854,63.50004559465273,25.418125125856836,39.19718817469269,23.43087711936711,17.843485013038986,391.16370213058434,10,0,0,0,1,1
39.38097,-87.63447,2018-07-13T00:00:00Z,2018,194,7.5,4,175.2128151650385,-58.49506164428982,86.64443600293173,48.25383136773389,46.19784063707284,32.65309484204175,42.59437589239147,195.46901636863544,3,0,1,1,0,0
39.382079999999995,-90.01920000000001,2019-08-29T00:00:00Z,2019,241,7.4,10,-30.252378322961302,-57.24874288194079,68.38467801928651,29.131218984868894,41.09065499744496,25.623940547894826,21.04796804726168,315.9502422954885,1,1,0,0,1,1
39.38306699999999,-89.03587499999999,2018-08-08T00:00:00Z,2018,220,0.5,4,54.472074431213784,-58.259790013895895,71.46085699849483,33.662099286001975,41.02064520971038,27.228965756087096,27.50294208962287,245.41957601870297,3,1,1,0,1,0
39.403468,-88.66889099999999,2018-08-14T00:00:00Z,2018,226,4.5,4,86.09834382445301,-56.17660509109765,56.24133031184569,20.88191288603308,36.24812261793996,19.10047693305279,15.74997902009627,476.59063394147574,1,0,NA,0,1,0
39.41262,-89.37726,2018-06-16T00:00:00Z,2018,167,5.75,4,25.097242685692738,-54.69424535444408,53.6251721666206,18.868323892047208,35.26354379069383,17.84471807105758,13.834252950248764,523.5669965365898,0,1,1,1,0,0
39.419836999999994,-90.507571,2018-09-11T00:00:00Z,2018,254,6,8,-72.23237570529795,-52.15659702011687,66.05830579162036,29.83833665607382,39.299782661700824,23.679954424385624,25.645330549919265,388.5658271878001,2,0,1,0,0,0
39.419836999999994,-90.507571,2019-05-29T00:00:00Z,2019,149,3.75,8,-72.23237570529795,-52.15659702011687,66.05830579162036,29.83833665607382,39.299782661700824,23.679954424385624,25.645330549919265,388.5658271878001,2,1,1,0,0,0
39.437946,-90.335428,2019-05-09T00:00:00Z,2019,129,0.5,2,-57.36257423777366,-50.48912786672776,70.05227847082524,31.08983716818333,41.45616497337514,26.3900173222224,23.816298943857817,301.9395775010103,0,0,0,1,1,0
39.507454,-89.359803,2018-08-18T00:00:00Z,2018,230,1.5,4,26.72056195689261,-44.18255176355346,71.66438058896615,33.614549558005514,41.41629221112904,26.895681832710945,28.00922393972071,281.94920712596206,5,0,1,0,1,0
39.50765,-89.98601000000001,2018-06-01T00:00:00Z,2018,152,1,1,-27.137033386957743,-43.35955825731071,62.44652632135476,26.296880895405938,38.272112191703,22.063557055367564,21.502313588733628,417.535786672618,6,0,1,0,0,0
